,,,,,,,,,,,
,,,,,,,,,,,
,Total Data,,,,,,,,,,
,2025-09-12 18:00:00,43331,43327,210,46852,1.081258222,0,0,1.000092321,206.3380952,0.99568
,2025-09-12 19:00:00,45726,45722,210,50072,1.095044395,0,0,1.000087485,217.7428571,0.99596
,2025-09-12 20:00:00,80116,80107,225,89859,1.121611164,0,0,1.00011235,356.0711111,0.995671
,2025-09-12 21:00:00,34196,34194,197,35784,1.04643818,0,0,1.00005849,173.5837563,0.997006
,2025-09-12 22:00:00,36251,36250,194,37939,1.046564233,0,0,1.000027586,186.8608247,0.99734
,2025-09-12 23:00:00,33170,33166,194,34668,1.04516129,0,0,1.000120605,170.9793814,0.996988
,2025-09-13 0:00:00,17964,17964,181,18550,1.032620797,0,0,1,99.24861878,0.994737
,2025-09-13 1:00:00,8960,8960,147,9118,1.017633929,0,0,1,60.95238095,0.988764
,2025-09-13 2:00:00,8407,8405,153,8579,1.020459141,0,0,1.000237954,54.94771242,0.987179
,2025-09-13 3:00:00,6043,6043,143,6136,1.015389707,0,0,1,42.25874126,1
,2025-09-13 4:00:00,16365,16362,188,16850,1.029636419,0,0,1.000183352,87.04787234,0.994413
,2025-09-13 5:00:00,6399,6399,150,6499,1.015627442,0,0,1,42.66,1
,2025-09-13 6:00:00,12129,12127,175,12576,1.036853821,0,0,1.000164921,69.30857143,1
,2025-09-13 7:00:00,4392,4392,149,4453,1.013888889,0,0,1,29.47651007,1
,2025-09-13 8:00:00,5876,5875,165,6045,1.028761062,0,0,1.000170213,35.61212121,1
,2025-09-13 9:00:00,5951,5951,164,6141,1.031927407,0,0,1,36.28658537,1
,2025-09-13 10:00:00,6498,6498,167,6767,1.041397353,0,0,1,38.91017964,0.983333
,2025-09-13 11:00:00,6306,6305,168,6561,1.040437678,0,0,1.000158604,37.53571429,0.984375
,2025-09-13 12:00:00,6281,6281,168,6506,1.035822321,0,0,1,37.38690476,1
,2025-09-13 13:00:00,6704,6704,157,6945,1.035948687,0,0,1,42.70063694,1
,2025-09-13 14:00:00,6218,6218,135,6342,1.019942104,0,0,1,46.05925926,0.972973
,2025-09-13 15:00:00,6534,6534,138,6623,1.013621059,0,0,1,47.34782609,1
,2025-09-13 16:00:00,8684,8684,145,8795,1.012782128,0,0,1,59.88965517,1
,2025-09-13 17:00:00,8722,8722,139,8825,1.011809218,0,0,1,62.74820144,0.987342
,2025-09-13 18:00:00,9843,9843,143,9998,1.015747232,0,0,1,68.83216783,0.99
,2025-09-13 19:00:00,7109,7109,131,7202,1.013082009,0,0,1,54.26717557,0.9875
,2025-09-13 20:00:00,8271,8271,136,8396,1.015113046,0,0,1,60.81617647,1
,2025-09-13 21:00:00,10432,10432,152,10691,1.024827454,0,0,1,68.63157895,0.992126
,2025-09-13 22:00:00,35055,35052,197,37965,1.083012409,0,0,1.000085587,177.9441624,0.997462
,2025-09-13 23:00:00,32157,32155,199,34476,1.072114936,0,0,1.000062199,161.5929648,0.99723
,2025-09-14 0:00:00,40781,40778,203,44790,1.098305583,0,0,1.000073569,200.8916256,0.997778
,2025-09-14 1:00:00,22924,22924,179,23937,1.044189496,0,0,1,128.0670391,1
,2025-09-14 2:00:00,8607,8606,155,8814,1.024050192,0,0,1.000116198,55.52903226,0.987952
,2025-09-14 3:00:00,11142,11141,157,11484,1.030694669,0,0,1.000089759,70.96815287,1
,2025-09-14 4:00:00,10476,10475,165,10806,1.031500573,0,0,1.000095465,63.49090909,1
,2025-09-14 5:00:00,8221,8221,164,8459,1.028950249,0,0,1,50.12804878,1
,2025-09-14 6:00:00,9448,9448,174,9724,1.029212532,0,0,1,54.29885057,1
,2025-09-14 7:00:00,9023,9023,184,9382,1.03978721,0,0,1,49.03804348,1
,2025-09-14 8:00:00,13325,13324,194,14218,1.067016886,0,0,1.000075053,68.68556701,1
,2025-09-14 9:00:00,4938,4938,152,5096,1.03199676,0,0,1,32.48684211,1
,2025-09-14 10:00:00,5895,5895,171,6154,1.043935539,0,0,1,34.47368421,1
,2025-09-14 11:00:00,5821,5821,158,6031,1.036076276,0,0,1,36.84177215,1
,2025-09-14 12:00:00,6695,6694,166,6971,1.041224795,0,0,1.000149388,40.3313253,1
,2025-09-14 13:00:00,5876,5876,152,6032,1.026548673,0,0,1,38.65789474,1
,2025-09-14 14:00:00,5535,5535,141,5632,1.017524842,0,0,1,39.25531915,1
,2025-09-14 15:00:00,4781,4781,113,4833,1.010876386,0,0,1,42.30973451,1
,2025-09-14 16:00:00,5671,5671,128,5730,1.010403809,0,0,1,44.3046875,1
,2025-09-14 17:00:00,6353,6353,122,6423,1.011018416,0,0,1,52.07377049,1
,2025-09-14 18:00:00,7006,7006,126,7067,1.008706823,0,0,1,55.6031746,1
,2025-09-14 19:00:00,8745,8745,139,8844,1.011320755,0,0,1,62.91366906,1
,2025-09-14 20:00:00,8293,8293,142,8412,1.014349451,0,0,1,58.40140845,1
,2025-09-14 21:00:00,6383,6383,129,6446,1.009869967,0,0,1,49.48062016,1
,2025-09-14 22:00:00,7563,7563,146,7670,1.014147825,0,0,1,51.80136986,1
,2025-09-14 23:00:00,43842,43840,210,47495,1.083321929,0,0,1.00004562,208.7714286,1
,2025-09-15 0:00:00,31620,31618,192,33602,1.062681847,0,0,1.000063255,164.6875,1
,2025-09-15 1:00:00,25285,25280,205,26633,1.05331224,0,0,1.000197785,123.3414634,1
