,,,,,,,,,,,
,,,,,,,,,,,
,Total Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,11 Sep to 15 Sep,801814,800481,283,1180393,1.472153143,0,0,1.001665249,2833.265018,0.8161078095
,,,,,,,,,,,
,,,,,,,,,,,
,Daily Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,2025-09-11 0:00:00,91848,91830,232,97817,1.064987806,0,0,1.000196014,395.8965517,0.0035316
,2025-09-12 0:00:00,376599,376351,268,480852,1.276827607,0,0,1.000658959,1405.220149,0.7781073333
,2025-09-13 0:00:00,225317,225179,260,261039,1.158541078,0,0,1.000612846,866.6038462,0.99405975
,2025-09-14 0:00:00,238368,238209,267,280450,1.176542153,0,0,1.000667481,892.7640449,0.9994054167
,2025-09-15 0:00:00,55073,55062,222,60235,1.09373014,0,0,1.000199775,248.0765766,1
,,,,,,,,,,,
,,,,,,,,,,,
,Hourly Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,2025-09-11 14:00:00,4163,4163,137,4219,1.013451838,0,0,1,30.38686131,0
,2025-09-11 15:00:00,8317,8317,152,8433,1.013947337,0,0,1,54.71710526,0
,2025-09-11 16:00:00,13774,13774,166,14118,1.02497459,0,0,1,82.97590361,0
,2025-09-11 17:00:00,11966,11966,164,12215,1.020808959,0,0,1,72.96341463,0
,2025-09-11 18:00:00,7389,7389,132,7484,1.01285695,0,0,1,55.97727273,0.025316
,2025-09-11 19:00:00,8808,8808,140,8901,1.010558583,0,0,1,62.91428571,0
,2025-09-11 20:00:00,11032,11032,148,11204,1.015591008,0,0,1,74.54054054,0
,2025-09-11 21:00:00,9762,9762,151,9891,1.013214505,0,0,1,64.64900662,0
,2025-09-11 22:00:00,11759,11758,151,11929,1.014457012,0,0,1.000085048,77.87417219,0.01
,2025-09-11 23:00:00,9330,9330,150,9423,1.009967846,0,0,1,62.2,0
,2025-09-12 0:00:00,9735,9735,146,9846,1.011402157,0,0,1,66.67808219,0
,2025-09-12 1:00:00,5448,5448,141,5488,1.007342144,0,0,1,38.63829787,0
,2025-09-12 2:00:00,5573,5572,147,5622,1.008792392,0,0,1.000179469,37.91156463,0
,2025-09-12 3:00:00,10917,10916,168,11165,1.022716864,0,0,1.000091609,64.98214286,0.007692
,2025-09-12 4:00:00,6449,6449,152,6527,1.012094898,0,0,1,42.42763158,0.126761
,2025-09-12 5:00:00,5946,5946,157,6023,1.012949882,0,0,1,37.87261146,0.62069
,2025-09-12 6:00:00,6048,6046,162,6171,1.020337302,0,0,1.000330797,37.33333333,1
,2025-09-12 7:00:00,8535,8535,192,8924,1.045577036,0,0,1,44.453125,1
,2025-09-12 8:00:00,7402,7402,179,7752,1.047284518,0,0,1,41.35195531,1
,2025-09-12 9:00:00,8309,8308,176,8807,1.05993501,0,0,1.000120366,47.21022727,0.989362
,2025-09-12 10:00:00,9035,9035,176,9665,1.069728832,0,0,1,51.33522727,0.97561
,2025-09-12 11:00:00,8969,8968,189,9654,1.076374178,0,0,1.000111508,47.45502646,0.990385
,2025-09-12 12:00:00,9950,9948,193,10732,1.078592965,0,0,1.000201045,51.55440415,1
,2025-09-12 13:00:00,13180,13180,197,14143,1.07306525,0,0,1,66.9035533,1
,2025-09-12 14:00:00,20894,20892,187,22183,1.061692352,0,0,1.00009573,111.7326203,1
,2025-09-12 15:00:00,13007,13004,158,13366,1.027600523,0,0,1.000230698,82.32278481,1
,2025-09-12 16:00:00,14543,14543,163,14977,1.029842536,0,0,1,89.2208589,0.992188
,2025-09-12 17:00:00,14328,14328,151,14633,1.021286991,0,0,1,94.88741722,0.993243
